,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0033045,GO:0033045,GO:0033045,regulation of sister chromatid segregation,22/891,70/17913,1.45E-12,3.89E-10,3.21E-10,RMI2/FBXO5/FEN1/CDT1/ESPL1/MAD2L1/CDC6/CDCA5/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/BUB1/TTK/NDC80/BUB1B/DLGAP5,22,0,,GO:0007157
GO:0007091,GO:0007091,GO:0007091,metaphase/anaphase transition of mitotic cell cycle,18/891,47/17913,3.42E-12,8.28E-10,6.83E-10,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,GO:2001044
GO:0010965,GO:0010965,GO:0010965,regulation of mitotic sister chromatid separation,18/891,47/17913,3.42E-12,8.28E-10,6.83E-10,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,GO:0007179
GO:0044843,GO:0044843,GO:0044843,cell cycle G1/S phase transition,45/891,288/17913,7.62E-12,1.67E-09,1.38E-09,MIR221/ADAMTS1/PLCB1/GPNMB/RBBP8/JADE1/GMNN/CDC25A/DHFR/EIF4EBP1/EZH2/PRIM1/MCM5/CDC7/FBXO5/ORC1/E2F1/POLE2/TYMS/CDT1/MTBP/ID4/E2F7/SUSD2/CDC45/ORC6/GLI1/INHBA/CDC6/BCAT1/RRM2/CDK1/CCNA2/E2F8/CCNB1/MCM10/CDC25C/AURKA/IQGAP3/CDKN3/FAM83D/GTSE1/KIF14/DACT1/MIR503,45,0,,GO:0061572
GO:0044784,GO:0044784,GO:0044784,metaphase/anaphase transition of cell cycle,18/891,49/17913,7.87E-12,1.67E-09,1.38E-09,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,GO:0032233
GO:0051306,GO:0051306,GO:0051306,mitotic sister chromatid separation,18/891,49/17913,7.87E-12,1.67E-09,1.38E-09,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,GO:0006940
GO:1905818,GO:1905818,GO:1905818,regulation of chromosome separation,18/891,52/17913,2.52E-11,5.13E-09,4.23E-09,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,
GO:0051304,GO:0051304,GO:0051304,chromosome separation,20/891,68/17913,5.91E-11,1.16E-08,9.54E-09,FANCM/FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/NCAPH/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,20,0,,
GO:0030071,GO:0030071,GO:0030071,regulation of mitotic metaphase/anaphase transition,16/891,44/17913,1.38E-10,2.60E-08,2.14E-08,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/DLGAP5,16,0,,
GO:0033047,GO:0033047,GO:0033047,regulation of mitotic sister chromatid segregation,18/891,57/17913,1.45E-10,2.63E-08,2.17E-08,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/BUB1B/DLGAP5,18,0,,
GO:0007052,GO:0007052,GO:0007052,mitotic spindle organization,23/891,95/17913,1.71E-10,3.00E-08,2.48E-08,HSPA1A/BORA/PSRC1/POC1A/RACGAP1/STIL/KIF23/TACC3/AURKB/WDR62/MYBL2/PLK1/KIF11/CCNB1/TPX2/CDC20/KIFC1/CENPE/KIF4A/PRC1/TTK/NDC80/SPC25,23,0,,
GO:1901987,GO:1901987,GO:1901987,regulation of cell cycle phase transition,57/891,464/17913,2.59E-10,4.38E-08,3.62E-08,MIR221/ADAMTS1/PLCB1/GPNMB/JADE1/CEP152/EZH2/TICRR/PKIA/CENPJ/CDC7/KNTC1/ATAD5/FBXO5/CEP72/E2F1/DBF4B/CDT1/MTBP/BLM/BRCA1/ESPL1/DTL/E2F7/SUSD2/GLI1/MAD2L1/CDC6/PLK4/CDCA5/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/UBE2C/TPX2/CLSPN/CDC20/ANLN/CDC25C/AURKA/CENPE/NEK2/FAM83D/TTK/GTSE1/KIF14/DACT1/NDC80/HMMR/BUB1B/DLGAP5/MIR503,57,0,,
GO:1902099,GO:1902099,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,16/891,46/17913,2.99E-10,4.90E-08,4.04E-08,FBXO5/CDT1/ESPL1/MAD2L1/CDC6/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/TTK/NDC80/DLGAP5,16,0,,
GO:0051321,GO:0051321,GO:0051321,meiotic cell cycle,34/891,203/17913,4.32E-10,6.86E-08,5.66E-08,SPIRE2/SYCE1L/PLCB1/RBBP8/FMN2/FANCM/CKS2/RAD54B/SMC2/FBXO5/RAD51/XRCC2/SMC4/MNS1/FANCD2/FANCA/ESPL1/BRCA2/EXO1/BRIP1/FBXO43/PLK1/MYBL1/TRIP13/NCAPH/CDC20/AURKA/NEK2/KIF18A/TTK/LIF/TOP2A/ASPM/WNT4,34,0,,
GO:0000082,GO:0000082,GO:0000082,G1/S transition of mitotic cell cycle,40/891,269/17913,5.16E-10,7.95E-08,6.56E-08,MIR221/ADAMTS1/PLCB1/GPNMB/RBBP8/JADE1/GMNN/CDC25A/DHFR/EIF4EBP1/EZH2/PRIM1/MCM5/CDC7/FBXO5/ORC1/E2F1/POLE2/TYMS/CDT1/MTBP/ID4/E2F7/CDC45/ORC6/INHBA/CDC6/BCAT1/RRM2/CDK1/E2F8/CCNB1/MCM10/CDC25C/AURKA/IQGAP3/CDKN3/GTSE1/KIF14/DACT1,40,0,,
GO:0051310,GO:0051310,GO:0051310,metaphase plate congression,17/891,55/17913,6.87E-10,1.03E-07,8.48E-08,GEM/PSRC1/CDT1/KIF22/CDCA5/SPAG5/KIF2C/SPDL1/CENPF/CCNB1/CDCA8/KIFC1/CENPE/KIF18A/FAM83D/KIF14/NDC80,17,0,,
GO:1901990,GO:1901990,GO:1901990,regulation of mitotic cell cycle phase transition,53/891,428/17913,8.37E-10,1.22E-07,1.00E-07,MIR221/ADAMTS1/PLCB1/GPNMB/JADE1/CEP152/EZH2/TICRR/PKIA/CENPJ/CDC7/KNTC1/ATAD5/FBXO5/CEP72/E2F1/DBF4B/CDT1/MTBP/BLM/BRCA1/ESPL1/DTL/E2F7/MAD2L1/CDC6/PLK4/CDCA5/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/UBE2C/TPX2/CLSPN/CDC20/ANLN/CDC25C/AURKA/CENPE/NEK2/TTK/GTSE1/KIF14/DACT1/NDC80/HMMR/BUB1B/DLGAP5,53,0,,
GO:0050000,GO:0050000,GO:0050000,chromosome localization,19/891,72/17913,1.38E-09,1.90E-07,1.56E-07,GEM/FMN2/PSRC1/CDT1/KIF22/CDCA5/SPAG5/KIF2C/SPDL1/CENPF/CCNB1/CDCA8/KIFC1/CENPE/KIF18A/FAM83D/KIF14/NDC80/DLGAP5,19,0,,
GO:0051303,GO:0051303,GO:0051303,establishment of chromosome localization,19/891,72/17913,1.38E-09,1.90E-07,1.56E-07,GEM/FMN2/PSRC1/CDT1/KIF22/CDCA5/SPAG5/KIF2C/SPDL1/CENPF/CCNB1/CDCA8/KIFC1/CENPE/KIF18A/FAM83D/KIF14/NDC80/DLGAP5,19,0,,
GO:0140013,GO:0140013,GO:0140013,meiotic nuclear division,27/891,142/17913,1.56E-09,2.09E-07,1.73E-07,SPIRE2/SYCE1L/PLCB1/FMN2/FANCM/CKS2/RAD54B/SMC2/FBXO5/SMC4/FANCD2/FANCA/ESPL1/BRCA2/BRIP1/PLK1/MYBL1/TRIP13/NCAPH/CDC20/AURKA/KIF18A/TTK/LIF/TOP2A/ASPM/WNT4,27,0,,
GO:0045839,GO:0045839,GO:0045839,negative regulation of mitotic nuclear division,15/891,45/17913,2.13E-09,2.78E-07,2.29E-07,BMP7/BMP4/FBXO5/CDT1/MTBP/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,15,0,,
GO:0051784,GO:0051784,GO:0051784,negative regulation of nuclear division,16/891,52/17913,2.36E-09,2.99E-07,2.47E-07,BMP7/BMP4/FBXO5/CDT1/MTBP/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/LIF/NDC80,16,0,,
GO:0000075,GO:0000075,GO:0000075,cell cycle checkpoint,32/891,197/17913,3.09E-09,3.82E-07,3.16E-07,TREX1/TICRR/KNTC1/E2F1/CDT1/BLM/BRCA1/ZWILCH/DTL/E2F7/CDC45/MAD2L1/CDC6/BRIP1/ZWINT/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/BUB1/TTK/GTSE1/NDC80/BUB1B,32,0,,
GO:0007093,GO:0007093,GO:0007093,mitotic cell cycle checkpoint,27/891,147/17913,3.46E-09,4.18E-07,3.45E-07,TICRR/KNTC1/E2F1/CDT1/BLM/BRCA1/ZWILCH/E2F7/MAD2L1/ZWINT/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/BUB1/TTK/GTSE1/NDC80/BUB1B,27,0,,
GO:0001655,GO:0001655,GO:0001655,urogenital system development,43/891,324/17913,4.21E-09,4.98E-07,4.11E-07,CYP19A1/BMP2/KLF15/PGF/AGT/BMP7/TACSTD2/ADAMTS1/BMP4/BMP6/AKR1B1/BCL2L11/DLL1/TREX1/SFRP1/CTSH/DCN/KIF26B/FGF1/GCNT4/FGFR2/KIRREL3/ITGA6/GLI2/FSTL3/SULF1/PODXL/FBN1/ID4/GLI1/POU3F3/COL4A4/TEK/ACTA2/SERPINB7/CENPF/CEP55/CRLF1/MMP9/SDC1/LIF/LGR5/WNT4,43,0,,
GO:0032963,GO:0032963,GO:0032963,collagen metabolic process,22/891,102/17913,4.44E-09,5.13E-07,4.23E-07,MMP8/MMP13/MMP3/MMP1/MMP10/CTSK/BMP4/UCN/CTSD/CTSL/CTSS/SMPD3/ADAMTS2/ADAMTS3/COL1A1/F2R/COL5A1/SERPINB7/SCX/COL15A1/MMP9/WNT4,22,0,,
GO:0072001,GO:0072001,GO:0072001,renal system development,40/891,291/17913,5.34E-09,6.03E-07,4.98E-07,BMP2/KLF15/PGF/AGT/BMP7/TACSTD2/ADAMTS1/BMP4/BMP6/AKR1B1/BCL2L11/DLL1/TREX1/SFRP1/CTSH/DCN/KIF26B/FGF1/GCNT4/FGFR2/KIRREL3/ITGA6/GLI2/FSTL3/SULF1/PODXL/FBN1/POU3F3/COL4A4/TEK/ACTA2/SERPINB7/CENPF/CEP55/CRLF1/MMP9/SDC1/LIF/LGR5/WNT4,40,0,,
GO:0044839,GO:0044839,GO:0044839,cell cycle G2/M phase transition,37/891,257/17913,5.67E-09,6.26E-07,5.17E-07,PLCB1/PHLDA1/NES/CDC25A/CEP152/TICRR/BORA/PKIA/CENPJ/CDC7/ATAD5/FBXO5/CEP72/DBF4B/TPD52L1/BLM/BRCA1/DTL/PKMYT1/PLK4/FOXM1/AURKB/CCNB2/CDK1/MELK/PLK1/CCNA2/CENPF/CCNB1/TPX2/CLSPN/CDC25C/AURKA/NEK2/GTSE1/KIF14/HMMR,37,0,,
GO:1903046,GO:1903046,GO:1903046,meiotic cell cycle process,27/891,151/17913,6.34E-09,6.86E-07,5.66E-07,SPIRE2/SYCE1L/PLCB1/FMN2/FANCM/CKS2/RAD54B/SMC2/FBXO5/SMC4/FANCD2/FANCA/ESPL1/BRCA2/BRIP1/PLK1/MYBL1/TRIP13/NCAPH/CDC20/AURKA/KIF18A/TTK/LIF/TOP2A/ASPM/WNT4,27,0,,
GO:0051302,GO:0051302,GO:0051302,regulation of cell division,28/891,162/17913,7.30E-09,7.73E-07,6.38E-07,EVI2B/PGF/RAB11FIP4/MDK/DLL1/INCENP/FGF1/ECT2/FGFR2/LBH/TXNIP/BLM/E2F7/RACGAP1/BRCA2/SUSD2/ORC6/CDC6/KIF23/AURKB/PLK1/KIF18B/E2F8/KIF20B/PRC1/KIF14/ASPM/KIF20A,28,0,,
GO:0000086,GO:0000086,GO:0000086,G2/M transition of mitotic cell cycle,35/891,238/17913,8.37E-09,8.69E-07,7.17E-07,PLCB1/PHLDA1/NES/CDC25A/CEP152/TICRR/BORA/PKIA/CENPJ/CDC7/FBXO5/CEP72/DBF4B/TPD52L1/BLM/BRCA1/DTL/PKMYT1/PLK4/FOXM1/AURKB/CCNB2/CDK1/MELK/PLK1/CCNA2/CENPF/CCNB1/TPX2/CLSPN/CDC25C/AURKA/NEK2/KIF14/HMMR,35,0,,
GO:0051383,GO:0051383,GO:0051383,kinetochore organization,10/891,20/17913,1.03E-08,1.05E-06,8.67E-07,SMC2/CDT1/SMC4/CENPH/CENPK/CENPN/CENPF/CENPE/CENPA/NDC80,10,0,,
GO:0030574,GO:0030574,GO:0030574,collagen catabolic process,13/891,37/17913,1.22E-08,1.20E-06,9.88E-07,MMP8/MMP13/MMP3/MMP1/MMP10/CTSK/CTSD/CTSL/CTSS/ADAMTS2/ADAMTS3/COL15A1/MMP9,13,0,,
GO:0033046,GO:0033046,GO:0033046,negative regulation of sister chromatid segregation,13/891,37/17913,1.22E-08,1.20E-06,9.88E-07,FBXO5/CDT1/ESPL1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,13,0,,
GO:0061640,GO:0061640,GO:0061640,cytoskeleton-dependent cytokinesis,19/891,82/17913,1.44E-08,1.38E-06,1.14E-06,NOX5/SPIRE2/FMN2/INCENP/ECT2/ESPL1/RACGAP1/BRCA2/CKAP2/KIF23/AURKB/PLK1/NUSAP1/KIF20B/CEP55/ANLN/KIF4A/CENPA/KIF20A,19,0,,
